transaction_id,customer_id,product_id,transaction_date,amount,status
52,C0105,P0361,2026-09-03,3209.49,REFUNDED
53,C0095,P0306,2026-09-04,2428.19,REFUNDED
54,C0390,P0457,2026-09-05,4167.95,CANCELLED
55,C0100,P0304,2026-09-02,2627.87,COMPLETED
56,C0368,P0323,2026-09-04,3890.89,COMPLETED
57,C0868,P0429,2026-09-04,4800.83,CANCELLED
58,C0353,P0354,2026-09-02,3207.14,CANCELLED
59,C0619,P0359,2026-09-05,1444.76,COMPLETED
60,C0271,P0229,2026-09-02,4357.57,CANCELLED
61,C0827,P0316,2026-09-05,3757.22,COMPLETED
62,C0045,P0183,2026-09-02,3886.6,CANCELLED
63,C0748,P0160,2026-09-04,637.82,REFUNDED
64,C0471,P0171,2026-09-05,2204.95,REFUNDED
65,C0550,P0419,2026-09-02,690.04,COMPLETED
66,C0128,P0102,2026-09-05,1516.16,COMPLETED
67,C0997,P0366,2026-09-03,942.45,COMPLETED
68,C0945,P0389,2026-09-03,3072.05,COMPLETED
69,C0388,P0344,2026-09-03,3588.55,REFUNDED
70,C0081,P0415,2026-09-03,2208.79,COMPLETED
71,C0566,P0274,2026-09-01,766.91,REFUNDED
72,C0301,P0041,2026-09-01,421.76,REFUNDED
73,C0850,P0499,2026-09-04,955.96,CANCELLED
74,C0644,P0473,2026-09-04,1562.91,REFUNDED
75,C0634,P0387,2026-09-05,366.62,COMPLETED
76,C0907,P0392,2026-09-02,1457.39,REFUNDED
77,C0883,P0239,2026-09-05,3078.08,CANCELLED
78,C0371,P0291,2026-09-04,2682.89,CANCELLED
79,C0592,P0068,2026-09-02,3989.4,REFUNDED
80,C0197,P0048,2026-09-02,608.2,CANCELLED
81,C0722,P0417,2026-09-04,3677.06,REFUNDED
82,C0072,P0411,2026-09-01,4691.42,REFUNDED
83,C0047,P0471,2026-09-02,4589.33,REFUNDED
84,C0678,P0358,2026-09-01,2863.34,REFUNDED
85,C0234,P0240,2026-09-04,4316.27,REFUNDED
86,C0792,P0050,2026-09-03,4335.91,CANCELLED
87,C0297,P0234,2026-09-05,495.74,REFUNDED
88,C0082,P0159,2026-09-04,4320.37,COMPLETED
89,C0876,P0351,2026-09-01,2260.24,COMPLETED
90,C0239,P0330,2026-09-02,4135.64,COMPLETED
91,C0888,P0364,2026-09-01,2060.94,COMPLETED
92,C0104,P0393,2026-09-04,3066.58,CANCELLED
93,C0390,P0239,2026-09-01,4884.98,REFUNDED
94,C0285,P0241,2026-09-02,1424.54,CANCELLED
95,C0465,P0119,2026-09-01,3468.74,COMPLETED
96,C0651,P0486,2026-09-02,527.85,REFUNDED
97,C0855,P0115,2026-09-05,846.37,REFUNDED
98,C0374,P0074,2026-09-05,3506.63,COMPLETED
99,C0167,P0441,2026-09-04,598.92,COMPLETED
100,C0380,P0459,2026-09-04,2770.29,REFUNDED
101,C0364,P0316,2026-09-03,332.21,CANCELLED
102,C0215,P0133,2026-09-02,4382.16,REFUNDED
103,C0687,P0468,2026-09-04,2140.13,REFUNDED
104,C0274,P0187,2026-09-05,153.64,COMPLETED
105,C0719,P0201,2026-09-02,3456.54,REFUNDED
106,C0960,P0094,2026-09-03,882.05,CANCELLED
107,C0700,P0359,2026-09-01,60.55,REFUNDED
108,C0664,P0470,2026-09-03,76.64,REFUNDED
109,C0074,P0341,2026-09-03,4684.42,COMPLETED
110,C0624,P0170,2026-09-05,3752.58,COMPLETED
111,C0651,P0404,2026-09-05,2719.24,COMPLETED
112,C0176,P0441,2026-09-05,1007.29,COMPLETED
113,C0547,P0452,2026-09-01,2010.35,REFUNDED
114,C0747,P0167,2026-09-01,4371.19,CANCELLED
115,C0251,P0233,2026-09-01,69.05,CANCELLED
116,C0168,P0250,2026-09-03,3177.45,COMPLETED
117,C0474,P0016,2026-09-04,1666.86,CANCELLED
118,C0389,P0034,2026-09-04,938.33,REFUNDED
119,C0277,P0244,2026-09-04,1259.15,CANCELLED
120,C0948,P0058,2026-09-04,2670.83,REFUNDED
121,C0656,P0180,2026-09-03,1212.97,COMPLETED
122,C0705,P0246,2026-09-04,3563.43,COMPLETED
123,C0571,P0237,2026-09-02,4679.82,CANCELLED
124,C0225,P0434,2026-09-02,2788.1,CANCELLED
125,C0702,P0088,2026-09-05,851.1,CANCELLED
126,C0333,P0145,2026-09-05,2118.75,REFUNDED
127,C0864,P0394,2026-09-01,4061.07,COMPLETED
128,C0787,P0179,2026-09-02,896.03,REFUNDED
129,C0795,P0310,2026-09-01,3902.85,REFUNDED
130,C0058,P0295,2026-09-05,3848.17,CANCELLED
131,C0235,P0066,2026-09-05,359.12,REFUNDED
132,C0842,P0261,2026-09-03,2282.95,COMPLETED
133,C0033,P0053,2026-09-04,2693.21,REFUNDED
134,C0825,P0208,2026-09-04,2189.37,REFUNDED
135,C0324,P0419,2026-09-03,4122.04,COMPLETED
136,C0411,P0366,2026-09-04,3793.62,COMPLETED
137,C0275,P0408,2026-09-02,4671.13,CANCELLED
138,C0068,P0055,2026-09-05,4296.08,CANCELLED
139,C0217,P0167,2026-09-05,927.69,REFUNDED
140,C0936,P0285,2026-09-03,2801.26,CANCELLED
141,C0966,P0333,2026-09-01,4453.2,REFUNDED
142,C0581,P0037,2026-09-02,4415.97,REFUNDED
143,C0898,P0406,2026-09-03,2532.93,REFUNDED
144,C0736,P0155,2026-09-04,4470.14,CANCELLED
145,C0323,P0273,2026-09-03,3382.22,CANCELLED
146,C0218,P0237,2026-09-01,4419.68,CANCELLED
147,C0672,P0206,2026-09-05,1059.04,CANCELLED
148,C0512,P0303,2026-09-05,4082.06,COMPLETED
149,C0406,P0212,2026-09-05,2067.17,CANCELLED
150,C0906,P0123,2026-09-05,3747.57,COMPLETED
151,C0937,P0318,2026-09-05,2553.01,REFUNDED
152,C0659,P0125,2026-09-04,3193.25,COMPLETED
153,C0470,P0281,2026-09-03,4422.2,CANCELLED
154,C0147,P0082,2026-09-03,4819.2,COMPLETED
155,C0272,P0499,2026-09-04,4569.6,CANCELLED
156,C0143,P0247,2026-09-03,3762.71,REFUNDED
157,C0253,P0197,2026-09-02,3851.42,REFUNDED
158,C0763,P0034,2026-09-02,926.31,CANCELLED
159,C0575,P0175,2026-09-01,2301.64,REFUNDED
160,C0552,P0107,2026-09-02,1276.77,CANCELLED
161,C0270,P0417,2026-09-04,2783.14,COMPLETED
162,C0765,P0356,2026-09-05,4827.4,COMPLETED
163,C0599,P0303,2026-09-03,587.87,CANCELLED
164,C0439,P0221,2026-09-05,4867.08,CANCELLED
165,C0920,P0402,2026-09-05,989.87,COMPLETED
166,C0598,P0223,2026-09-03,3335.93,CANCELLED
167,C0409,P0291,2026-09-01,3965.95,COMPLETED
168,C0371,P0404,2026-09-03,1045.57,CANCELLED
169,C0225,P0176,2026-09-03,1166.76,CANCELLED
170,C0142,P0279,2026-09-02,3063.43,REFUNDED
171,C0522,P0356,2026-09-01,540.79,COMPLETED
172,C0506,P0121,2026-09-03,2725.79,CANCELLED
173,C0094,P0089,2026-09-03,2565.1,CANCELLED
174,C0774,P0340,2026-09-04,4855.54,COMPLETED
175,C0049,P0343,2026-09-04,1779.17,REFUNDED
176,C0882,P0040,2026-09-02,974.83,COMPLETED
177,C0113,P0379,2026-09-02,3699.01,CANCELLED
178,C0157,P0477,2026-09-03,3655.2,CANCELLED
179,C0643,P0365,2026-09-03,363.34,CANCELLED
180,C0164,P0294,2026-09-05,2410.51,REFUNDED
181,C0812,P0429,2026-09-01,3555.82,REFUNDED
182,C0697,P0250,2026-09-02,3833.06,REFUNDED
183,C0433,P0059,2026-09-03,4707.82,REFUNDED
184,C0611,P0304,2026-09-02,147.93,REFUNDED
185,C0066,P0306,2026-09-01,4765.7,CANCELLED
186,C0395,P0238,2026-09-02,2437.28,REFUNDED
187,C0391,P0167,2026-09-05,1958.93,REFUNDED
188,C0611,P0285,2026-09-05,3270.68,REFUNDED
189,C0480,P0050,2026-09-02,2141.34,CANCELLED
190,C0542,P0421,2026-09-01,3164.29,CANCELLED
191,C0258,P0228,2026-09-05,1882.66,CANCELLED
192,C0995,P0091,2026-09-01,2930.91,CANCELLED
193,C0567,P0158,2026-09-05,81.06,CANCELLED
194,C0882,P0490,2026-09-05,4499.33,CANCELLED
195,C0966,P0208,2026-09-02,2714.22,REFUNDED
196,C0012,P0036,2026-09-01,547.23,CANCELLED
197,C0697,P0307,2026-09-04,3288.24,CANCELLED
198,C0739,P0056,2026-09-01,1368.69,CANCELLED
199,C0118,P0351,2026-09-03,3863.11,COMPLETED
200,C0699,P0417,2026-09-02,3124.79,COMPLETED
201,C0907,P0306,2026-09-03,2362.09,CANCELLED
202,C0550,P0395,2026-09-05,2250.74,COMPLETED
203,C0769,P0420,2026-09-04,2078.27,COMPLETED
204,C0274,P0195,2026-09-04,2330.19,REFUNDED
205,C0788,P0168,2026-09-05,2540.68,COMPLETED
206,C0657,P0254,2026-09-02,597.81,REFUNDED
207,C0349,P0331,2026-09-04,4851.19,REFUNDED
208,C0115,P0339,2026-09-03,2124.05,REFUNDED
209,C0301,P0032,2026-09-01,4273.48,COMPLETED
210,C0446,P0047,2026-09-01,3234.09,CANCELLED
211,C0162,P0112,2026-09-04,2728.04,COMPLETED
212,C0465,P0419,2026-09-04,1529.6,REFUNDED
213,C0004,P0072,2026-09-04,3320.67,CANCELLED
214,C0977,P0455,2026-09-03,932.07,REFUNDED
215,C0740,P0298,2026-09-01,3394.01,CANCELLED
216,C0897,P0463,2026-09-02,4953.84,COMPLETED
217,C0737,P0387,2026-09-03,4118.45,REFUNDED
218,C0270,P0326,2026-09-01,795.84,CANCELLED
219,C0996,P0415,2026-09-03,1984.41,CANCELLED
220,C0513,P0001,2026-09-01,1874.77,REFUNDED
221,C0781,P0388,2026-09-02,4769.04,COMPLETED
222,C0183,P0076,2026-09-01,2026.31,REFUNDED
223,C0520,P0339,2026-09-03,1953.14,REFUNDED
224,C0935,P0077,2026-09-02,895.53,COMPLETED
225,C0109,P0232,2026-09-05,4355.89,CANCELLED
226,C0892,P0273,2026-09-03,2894.99,CANCELLED
227,C0641,P0150,2026-09-03,516.29,COMPLETED
228,C0306,P0200,2026-09-04,1652.18,REFUNDED
229,C0862,P0316,2026-09-05,1060.49,REFUNDED
230,C0655,P0296,2026-09-01,3102.88,COMPLETED
231,C0520,P0229,2026-09-03,2986.22,COMPLETED
232,C0624,P0101,2026-09-01,4460.99,COMPLETED
233,C0204,P0106,2026-09-04,854.41,CANCELLED
234,C0157,P0349,2026-09-01,1664.44,REFUNDED
235,C0383,P0450,2026-09-05,3031.6,CANCELLED
236,C0781,P0163,2026-09-03,3372.25,CANCELLED
237,C0166,P0154,2026-09-02,3159.96,CANCELLED
238,C0553,P0292,2026-09-05,94.71,REFUNDED
239,C0977,P0407,2026-09-01,2249.47,COMPLETED
240,C0798,P0468,2026-09-01,1524.41,CANCELLED
241,C0945,P0348,2026-09-02,725.69,REFUNDED
242,C0544,P0156,2026-09-02,4315.18,REFUNDED
243,C0941,P0471,2026-09-05,161.25,CANCELLED
244,C0001,P0483,2026-09-04,1377.18,CANCELLED
245,C0614,P0480,2026-09-02,2402.14,COMPLETED
246,C0332,P0223,2026-09-02,3835.92,COMPLETED
247,C0501,P0368,2026-09-03,2089.43,CANCELLED
248,C0020,P0469,2026-09-04,2971.82,CANCELLED
249,C0115,P0177,2026-09-02,4985.23,REFUNDED
250,C0952,P0046,2026-09-04,361.5,CANCELLED
251,C0372,P0299,2026-09-02,2217.47,COMPLETED
252,C0900,P0005,2026-09-04,3112.74,REFUNDED
253,C0852,P0314,2026-09-03,2447.93,COMPLETED
254,C0827,P0262,2026-09-02,2834.06,REFUNDED
255,C0315,P0207,2026-09-02,2788.57,COMPLETED
256,C0246,P0434,2026-09-01,2996.68,COMPLETED
257,C0060,P0066,2026-09-05,1569.62,CANCELLED
258,C0247,P0437,2026-09-02,3414.59,COMPLETED
259,C0900,P0151,2026-09-01,1311.8,REFUNDED
260,C0581,P0032,2026-09-04,1792.12,CANCELLED
261,C0970,P0190,2026-09-01,3108.14,CANCELLED
262,C0081,P0462,2026-09-04,2876.34,REFUNDED
263,C0088,P0282,2026-09-05,2057.86,CANCELLED
264,C0750,P0496,2026-09-05,422.58,REFUNDED
265,C0498,P0028,2026-09-02,2569.84,COMPLETED
266,C0836,P0001,2026-09-02,4023.5,CANCELLED
267,C0071,P0361,2026-09-01,4019.81,COMPLETED
268,C0779,P0287,2026-09-04,4242.55,COMPLETED
269,C0546,P0421,2026-09-03,607.1,CANCELLED
270,C0785,P0184,2026-09-05,2337.11,COMPLETED
271,C0129,P0057,2026-09-04,1480.43,COMPLETED
272,C0132,P0441,2026-09-05,2318.76,REFUNDED
273,C0676,P0145,2026-09-02,4721.43,COMPLETED
274,C0487,P0444,2026-09-03,1749.65,CANCELLED
275,C0970,P0016,2026-09-04,2023.41,REFUNDED
276,C0563,P0121,2026-09-05,2928.55,CANCELLED
277,C0170,P0222,2026-09-02,4051.71,COMPLETED
278,C0272,P0360,2026-09-03,578.75,COMPLETED
279,C0541,P0303,2026-09-02,1935.06,COMPLETED
280,C0894,P0202,2026-09-03,3893.21,COMPLETED
281,C0622,P0321,2026-09-04,2691.84,CANCELLED
282,C0434,P0163,2026-09-04,1362.84,REFUNDED
283,C0988,P0365,2026-09-04,1614.38,COMPLETED
284,C0217,P0196,2026-09-05,3972.06,REFUNDED
285,C0952,P0208,2026-09-03,874.99,REFUNDED
286,C0553,P0196,2026-09-05,3218.05,CANCELLED
287,C0774,P0223,2026-09-04,4040.71,COMPLETED
288,C0748,P0280,2026-09-03,4385.4,REFUNDED
289,C0707,P0109,2026-09-01,1667.0,CANCELLED
290,C0206,P0340,2026-09-02,895.96,REFUNDED
291,C0731,P0089,2026-09-01,4186.69,REFUNDED
292,C0320,P0244,2026-09-03,4933.6,COMPLETED
293,C0409,P0072,2026-09-04,861.93,CANCELLED
294,C0688,P0097,2026-09-04,740.73,CANCELLED
295,C0666,P0285,2026-09-03,2320.47,CANCELLED
296,C0383,P0197,2026-09-02,2013.7,CANCELLED
297,C0449,P0432,2026-09-04,1484.9,CANCELLED
298,C0922,P0474,2026-09-01,3029.06,COMPLETED
299,C0530,P0185,2026-09-02,352.97,COMPLETED
300,C0463,P0431,2026-09-04,4207.34,COMPLETED
301,C0124,P0214,2026-09-03,936.75,COMPLETED
302,C0254,P0079,2026-09-01,2696.47,REFUNDED
303,C0231,P0148,2026-09-03,1300.68,COMPLETED
304,C0066,P0447,2026-09-04,2624.41,COMPLETED
305,C0347,P0344,2026-09-02,3862.35,REFUNDED
306,C0022,P0065,2026-09-04,52.7,REFUNDED
307,C0603,P0069,2026-09-04,4392.44,COMPLETED
308,C0568,P0006,2026-09-05,2887.02,CANCELLED
309,C0236,P0037,2026-09-04,990.27,REFUNDED
310,C0603,P0332,2026-09-02,3345.34,COMPLETED
311,C0226,P0009,2026-09-01,253.69,REFUNDED
312,C0008,P0074,2026-09-03,2438.21,CANCELLED
313,C0073,P0370,2026-09-03,3350.45,REFUNDED
314,C0725,P0454,2026-09-05,2727.24,COMPLETED
315,C0647,P0250,2026-09-02,1222.96,CANCELLED
316,C0061,P0337,2026-09-04,2995.27,CANCELLED
317,C0235,P0224,2026-09-01,2394.95,COMPLETED
318,C0070,P0500,2026-09-05,4175.37,CANCELLED
319,C0928,P0070,2026-09-03,3730.39,REFUNDED
320,C0033,P0044,2026-09-03,574.63,CANCELLED
321,C0881,P0071,2026-09-03,1770.78,CANCELLED
322,C0339,P0329,2026-09-04,4922.03,REFUNDED
323,C0073,P0413,2026-09-04,1220.98,REFUNDED
324,C0527,P0213,2026-09-04,789.42,CANCELLED
325,C0244,P0441,2026-09-04,4802.65,REFUNDED
326,C0286,P0234,2026-09-04,3952.1,CANCELLED
327,C0686,P0458,2026-09-03,4580.23,CANCELLED
328,C0498,P0404,2026-09-01,283.85,COMPLETED
329,C0220,P0357,2026-09-03,1103.63,CANCELLED
330,C0553,P0310,2026-09-04,3414.3,CANCELLED
331,C0136,P0477,2026-09-02,3615.01,CANCELLED
332,C0741,P0218,2026-09-03,3810.87,REFUNDED
333,C0958,P0320,2026-09-01,2046.32,CANCELLED
334,C0904,P0093,2026-09-03,2981.26,COMPLETED
335,C0585,P0233,2026-09-04,4353.72,REFUNDED
336,C0591,P0261,2026-09-04,3002.38,COMPLETED
337,C0485,P0218,2026-09-02,3242.99,COMPLETED
338,C0249,P0283,2026-09-05,135.57,REFUNDED
339,C0804,P0420,2026-09-02,4842.79,REFUNDED
340,C0485,P0231,2026-09-05,1819.31,REFUNDED
341,C0827,P0197,2026-09-02,1499.28,REFUNDED
342,C0417,P0182,2026-09-01,2811.89,COMPLETED
343,C0195,P0116,2026-09-05,3847.91,CANCELLED
344,C0097,P0096,2026-09-05,998.33,COMPLETED
345,C0100,P0218,2026-09-03,2219.46,COMPLETED
346,C0675,P0310,2026-09-02,2729.74,COMPLETED
347,C0442,P0004,2026-09-05,4231.12,REFUNDED
348,C0363,P0296,2026-09-05,4953.11,REFUNDED
349,C0434,P0256,2026-09-01,2188.37,REFUNDED
350,C0421,P0434,2026-09-01,2868.94,REFUNDED
351,C0479,P0375,2026-09-04,2538.14,CANCELLED
352,C0885,P0122,2026-09-01,2425.27,CANCELLED
353,C0747,P0365,2026-09-03,3619.02,REFUNDED
354,C0056,P0257,2026-09-03,146.55,COMPLETED
355,C0690,P0138,2026-09-05,635.66,CANCELLED
356,C0670,P0211,2026-09-01,2386.92,REFUNDED
357,C0662,P0475,2026-09-01,2101.5,CANCELLED
358,C0101,P0280,2026-09-05,3231.56,CANCELLED
359,C0063,P0296,2026-09-02,222.85,REFUNDED
360,C0413,P0188,2026-09-03,609.34,REFUNDED
361,C0746,P0018,2026-09-05,3763.1,REFUNDED
362,C0348,P0020,2026-09-02,2167.25,REFUNDED
363,C0820,P0291,2026-09-02,4448.35,CANCELLED
364,C0883,P0248,2026-09-05,658.23,COMPLETED
365,C0112,P0361,2026-09-04,1193.08,REFUNDED
366,C0255,P0189,2026-09-02,4598.72,REFUNDED
367,C0197,P0058,2026-09-03,1549.93,COMPLETED
368,C0195,P0298,2026-09-02,4846.2,REFUNDED
369,C0550,P0247,2026-09-03,701.06,REFUNDED
370,C0460,P0493,2026-09-03,2996.76,CANCELLED
371,C0144,P0354,2026-09-04,264.17,CANCELLED
372,C0433,P0041,2026-09-02,2445.54,COMPLETED
373,C0188,P0073,2026-09-05,3343.06,CANCELLED
374,C0286,P0374,2026-09-02,4775.73,COMPLETED
375,C0474,P0375,2026-09-01,2815.2,COMPLETED
376,C0256,P0270,2026-09-01,4649.17,COMPLETED
377,C0896,P0440,2026-09-01,4101.58,COMPLETED
378,C0946,P0385,2026-09-05,1902.41,REFUNDED
379,C0078,P0399,2026-09-01,1539.37,COMPLETED
380,C0454,P0144,2026-09-05,241.17,REFUNDED
381,C0828,P0239,2026-09-04,751.73,COMPLETED
382,C0883,P0265,2026-09-04,3901.69,REFUNDED
383,C0877,P0041,2026-09-01,628.3,REFUNDED
384,C0564,P0268,2026-09-02,4555.3,REFUNDED
385,C0101,P0456,2026-09-03,3075.85,CANCELLED
386,C0052,P0313,2026-09-03,2209.13,COMPLETED
387,C0668,P0046,2026-09-01,2414.55,REFUNDED
388,C0554,P0126,2026-09-02,1611.36,COMPLETED
389,C0857,P0242,2026-09-02,2156.08,COMPLETED
390,C0016,P0323,2026-09-01,932.39,REFUNDED
391,C0993,P0380,2026-09-03,4697.76,COMPLETED
392,C0096,P0340,2026-09-01,944.96,COMPLETED
393,C0949,P0492,2026-09-04,3064.49,COMPLETED
394,C0772,P0343,2026-09-04,1692.34,CANCELLED
395,C0870,P0040,2026-09-02,1116.5,CANCELLED
396,C0243,P0351,2026-09-03,3194.25,REFUNDED
397,C0171,P0325,2026-09-01,3316.54,CANCELLED
398,C0417,P0277,2026-09-01,2225.91,CANCELLED
399,C0498,P0409,2026-09-01,195.53,COMPLETED
400,C0493,P0297,2026-09-05,2519.57,CANCELLED
401,C0219,P0160,2026-09-04,2427.98,REFUNDED
402,C0886,P0314,2026-09-01,1974.55,CANCELLED
403,C0411,P0028,2026-09-01,2728.86,REFUNDED
404,C0925,P0463,2026-09-05,3439.43,CANCELLED
405,C0061,P0176,2026-09-05,1662.12,COMPLETED
406,C0169,P0274,2026-09-02,3006.57,CANCELLED
407,C0389,P0399,2026-09-01,3023.87,REFUNDED
408,C0003,P0006,2026-09-05,1664.98,REFUNDED
409,C0400,P0241,2026-09-04,527.13,REFUNDED
410,C0272,P0233,2026-09-02,4129.24,CANCELLED
411,C0949,P0263,2026-09-05,1197.21,COMPLETED
412,C0803,P0464,2026-09-03,1164.86,CANCELLED
413,C0804,P0241,2026-09-03,80.23,COMPLETED
414,C0466,P0294,2026-09-04,4160.66,REFUNDED
415,C0293,P0376,2026-09-05,4848.77,CANCELLED
416,C0434,P0170,2026-09-01,1472.98,REFUNDED
417,C0714,P0216,2026-09-03,3656.84,CANCELLED
418,C0981,P0181,2026-09-03,1129.9,COMPLETED
419,C0749,P0492,2026-09-04,872.81,REFUNDED
420,C0803,P0409,2026-09-02,4153.05,COMPLETED
421,C0570,P0151,2026-09-01,4502.38,COMPLETED
422,C0678,P0149,2026-09-03,328.97,COMPLETED
423,C0736,P0086,2026-09-05,3718.06,REFUNDED
424,C0499,P0019,2026-09-04,2002.21,CANCELLED
425,C0159,P0356,2026-09-04,3309.14,CANCELLED
426,C0195,P0473,2026-09-03,4735.2,REFUNDED
427,C0304,P0306,2026-09-04,4656.07,COMPLETED
428,C0223,P0384,2026-09-01,386.55,CANCELLED
429,C0992,P0156,2026-09-02,3599.8,CANCELLED
430,C0060,P0373,2026-09-04,2387.89,COMPLETED
431,C0594,P0402,2026-09-05,4619.52,REFUNDED
432,C0754,P0289,2026-09-03,3218.46,COMPLETED
433,C0556,P0134,2026-09-04,3184.87,CANCELLED
434,C0063,P0032,2026-09-03,2343.41,COMPLETED
435,C0766,P0323,2026-09-05,827.41,REFUNDED
436,C0322,P0243,2026-09-05,3873.38,REFUNDED
437,C0059,P0297,2026-09-02,2703.55,COMPLETED
438,C0052,P0087,2026-09-04,2750.61,COMPLETED
439,C0599,P0294,2026-09-01,1269.58,CANCELLED
440,C0489,P0027,2026-09-04,1765.2,REFUNDED
441,C0515,P0337,2026-09-04,1638.88,REFUNDED
442,C0942,P0150,2026-09-03,3391.78,CANCELLED
443,C0874,P0415,2026-09-05,2793.01,REFUNDED
444,C0544,P0378,2026-09-01,896.3,REFUNDED
445,C0162,P0320,2026-09-04,2943.06,CANCELLED
446,C0059,P0014,2026-09-02,1561.11,CANCELLED
447,C0984,P0147,2026-09-05,3422.28,COMPLETED
448,C0521,P0249,2026-09-01,1764.06,CANCELLED
449,C0083,P0043,2026-09-04,3578.37,CANCELLED
450,C0872,P0065,2026-09-02,1597.51,COMPLETED
451,C0191,P0259,2026-09-04,2060.1,COMPLETED
452,C0071,P0040,2026-09-03,4888.62,REFUNDED
453,C0610,P0436,2026-09-04,1672.07,COMPLETED
454,C0070,P0402,2026-09-05,1872.8,CANCELLED
455,C0692,P0143,2026-09-01,465.97,CANCELLED
456,C0883,P0130,2026-09-03,379.47,REFUNDED
457,C0241,P0068,2026-09-03,1713.14,REFUNDED
458,C0414,P0316,2026-09-02,308.52,COMPLETED
459,C0123,P0144,2026-09-01,4265.81,COMPLETED
460,C0965,P0141,2026-09-01,283.46,CANCELLED
461,C0912,P0440,2026-09-05,1577.14,CANCELLED
462,C0584,P0132,2026-09-02,509.09,COMPLETED
463,C0253,P0008,2026-09-02,2268.77,CANCELLED
464,C0593,P0380,2026-09-04,1570.92,REFUNDED
465,C0609,P0058,2026-09-05,2384.5,CANCELLED
466,C0041,P0310,2026-09-02,3835.19,REFUNDED
467,C0635,P0090,2026-09-01,3211.21,REFUNDED
468,C0084,P0466,2026-09-02,1815.28,CANCELLED
469,C0430,P0303,2026-09-04,748.67,COMPLETED
470,C0674,P0379,2026-09-05,2219.88,COMPLETED
471,C0598,P0078,2026-09-04,2668.18,COMPLETED
472,C0579,P0338,2026-09-05,3729.58,CANCELLED
473,C0536,P0229,2026-09-05,3674.63,COMPLETED
474,C0324,P0190,2026-09-02,605.07,REFUNDED
475,C0958,P0414,2026-09-01,3957.88,REFUNDED
476,C0268,P0090,2026-09-04,2333.16,REFUNDED
477,C0210,P0134,2026-09-03,1814.22,COMPLETED
478,C0686,P0401,2026-09-04,1536.39,COMPLETED
479,C0734,P0359,2026-09-03,4038.6,REFUNDED
480,C0322,P0121,2026-09-03,2876.83,CANCELLED
481,C0245,P0249,2026-09-02,1037.22,CANCELLED
482,C0272,P0093,2026-09-01,1482.46,COMPLETED
483,C0406,P0410,2026-09-03,4511.44,CANCELLED
484,C0135,P0271,2026-09-05,1055.71,REFUNDED
